Fabric Code,Brand,Type,Color,File
42007,3,shirt,"White With Dark Blue,Blue,Green And Red Check",42007.jpg
42009,3,shirt,"White Whit Brown,Dark Blue And Blue Stripe",42009.jpg
42011,3,shirt,Yellow And Blue Double Stripe,42011.jpg
42013,3,shirt,Pink And blue Grid Check,42013.jpg
42018,3,shirt,"Beige, Dark Blue And Check",42018.jpg
42019,3,shirt,"Beige,Blue And Dark Blue Check",42019.jpg
42020,3,shirt,White With Dark Blue And Blue Check,42020.jpg
42021,3,shirt,null,42021.jpg
42022,3,shirt,White With Red And Baby Blue,42022.jpg
42024,3,shirt,"White With Dark Blue,Red And Brown",42024.jpg
42025,3,shirt,White With Pink And Red Check,42025.jpg
42026,3,shirt,White With Purple Check,42026.jpg
42027,3,shirt,White With Blue And Light Blue,42027.jpg
42028,3,shirt,White With Blue And Light Blue Check,42028.jpg
42029,3,shirt,null,42029.jpg
42030,3,shirt,null,42030.jpg
42033,3,shirt,Orange Herringbone,42033.jpg
42035,3,shirt,Yellow With Blue Check,42035.jpg
42037,3,shirt,Blue With White And Pink Stripe,42037.jpg
42038,3,shirt,null,42038.jpg
42039,3,shirt,null,42039.jpg
42040,3,shirt,null,42040.jpg
43003,3,shirt,White With Blue PinStripe,43003.jpg
