Fabric Code,Brand,Type,Color,File
555030,2,Shirt,"Light Blue With Navy Blue,White And Red Strip",555030.jpg
555032,2,Shirt,Ash With Pink Stripe,555032.jpg
555033,2,Shirt,Aths Special With  Brown Stripe,555033.jpg
555034,2,Shirt,White With Double Black Stripe,555034.jpg
555069,2,Shirt,Small Green Check,555069.jpg
555104,2,Shirt,Purple Pinpoint,555104.jpg
555105,2,Shirt,Pink Pinpoint,555105.jpg
555151,2,Shirt,Solid Wnie Red,555151.jpg
555152,2,Shirt,Solid Yellow,555152.jpg
555153,2,Shirt,Solid Brown,555153.jpg
555154,2,Shirt,Solid Light Blue,555154.jpg
555156,2,Shirt,Solid Lavender Rose,555156.jpg
555157,2,Shirt,Solid Orange Roughy,555157.jpg
555158,2,Shirt,Solid Blue,555158.jpg
555159,2,Shirt,White Check,555159.jpg
555160,2,Shirt,White Small Check,555160.jpg
555161,2,Shirt,White Diamond Check,555161.jpg
555162,2,Shirt,White Mini Chessboard,555162.jpg
555165,2,Shirt,Ash With White And Purple Stripe,555165.jpg
555166,2,Shirt,Light Blue Whith White And Blue Stripe,555166.jpg
555167,2,Shirt,"White, Dark Blue And Blue Stripe",555167.jpg
555168,2,Shirt,"Light Blue, Lavender Purple And Violet Stripe",555168.jpg
555174,2,Shirt,White With Light Blue And Dark Blue Stripe,555174.jpg
555175,2,Shirt,White With Grey And Black Stripe,555175.jpg
555205,2,Shirt,Navy with French pass And Dark Grey,555205.jpg
555206,2,Shirt,"Red,Cream And Dark Blue Striped",555206.jpg
CF-007-3,2,Shirt,Cream,CF-007-3.jpg
CF-007-8,2,Shirt,Grey,CF-007-8.jpg
CF-051-1,2,Shirt,White With  Small Blue Check,CF-051-1.jpg
CF-051-2,2,Shirt,White With Small Grey Check,CF-051-2.jpg
CF-051-3,2,Shirt,White With Small Red Check,CF-051-3.jpg
CF-051-4,2,Shirt,White With Small Dark Blue Check,CF-051-4.jpg
CF-051-6,2,Shirt,White With Small Purple Check,CF-051-6.jpg
CF-051-7,2,Shirt,White With Small Black Check,CF-051-7.jpg
CF-056-1,2,Shirt,White With Dark Blue And Ligth Blue Check,CF-056-1.jpg
CF-056-4,2,Shirt,White With Black And Grey Check,CF-056-4.jpg
CF-056-7,2,Shirt,White With Dark Red And Pink Check,CF-056-7.jpg
CF-059-1,2,Shirt,White With Dark Blue Stripe,CF-059-1.jpg
CF-059-2,2,Shirt,White With Blue Stripe,CF-059-2.jpg
CF-059-3,2,Shirt,White With Red Stripe,CF-059-3.jpg
CF-059-4,2,Shirt,White With Grey Stripe,CF-059-4.jpg
CF-059-6,2,Shirt,White With Purple Stripe,CF-059-6.jpg
CF-059-7,2,Shirt,White With Black Stripe,CF-059-7.jpg
CF-063-1,2,Shirt,White With Dark Blue And Blue Stripe,CF-063-1.jpg
CF-063-3,2,Shirt,White With Black And Brown Stripe,CF-063-3.jpg
CF-063-4,2,Shirt,White With Black And Grey Stripe,CF-063-4.jpg
CF-063-7,2,Shirt,White With Dark Red And Pink Stripe,CF-063-7.jpg
CF-086-4,2,Shirt,White And Kashmir Blue Stripe,CF-086-4.jpg
CF-086-6,2,Shirt,White And Purple Stripe,CF-086-6.jpg
CF-086-13,2,Shirt,White And Black Stripe,CF-086-13.jpg
CF-086-14,2,Shirt,White And Pink Stripe,CF-086-14.jpg
CF-115-1,2,Shirt,Blue With White Check,CF-115-1.jpg
CF-115-3,2,Shirt,Black With White Check,CF-115-3.jpg
CF-116-2,2,Shirt,Blue With White Stripe,CF-116-2.jpg
CF-116-3,2,Shirt,Grey With White Stripe,CF-116-3.jpg
CF-244-22,2,Shirt,Black Pinpoint,CF-244-22.jpg
CF-426-1,2,Shirt,White Herringbone,CF-426-1.jpg
CF-426-10,2,Shirt,Blue Herringbone,CF-426-10.jpg
CF-501-1,2,Shirt,Light Blue White Duble Stripes,CF-501-1.jpg
CF-501-4,2,Shirt,Purple White Duble Stripes,CF-501-4.jpg
CF-501-5,2,Shirt,Grey White Duble Stripes,CF-501-5.jpg
CF-508-5,2,Shirt,Green Check,CF-508-5.jpg
CF-509-4,2,Shirt,White And Pink Stripe,CF-509-4.jpg
CF-509-6,2,Shirt,White And Blue Stripe,CF-509-6.jpg
CF-539-2,2,Shirt,White With Blue Check,CF-539-2.jpg
CF-539-5,2,Shirt,White With Black check,CF-539-5.jpg
CF-539-7,2,Shirt,White With Blue Stripe,CF-539-7.jpg
CF-539-8,2,Shirt,White With Red Stripe,CF-539-8.jpg
CF-544-2,2,Shirt,Blue With White And Blue Check,CF-544-2.jpg
CF-544-3,2,Shirt,Pink With White And Pink Check,CF-544-3.jpg
CF-544-5,2,Shirt,Blue With White Stripe,CF-544-5.jpg
CF-544-6,2,Shirt,Pink With White Stripe,CF-544-6.jpg
CF-555-2,2,Shirt,Small White Herringbone,CF-555-2.jpg
CF-574-4,2,Shirt,Green Oxford,CF-574-4.jpg
CF-574-9,2,Shirt,Purple Oxford,CF-574-9.jpg
GV-004,2,Shirt,White Blue Stripe,GV-004.jpg
GV-007,2,Shirt,White With Orange Stripe,GV-007.jpg
GV-009,2,Shirt,"White With Red, Orange, Grey And Dark Blue Stripe",GV-009.jpg
GV-010,2,Shirt,White With Blue Stripe,GV-010.jpg
GV-012,2,Shirt,Beige With Brown And Blue Check,GV-012.jpg
GV-015,2,Shirt,Baby Blue,GV-015.jpg
STR-209,2,Shirt,Bone Solid,STR-209.jpg
STR-216,2,Shirt,Tan Solid,STR-216.jpg
STR-4592,2,Shirt,White Solid,STR-4592.jpg
STR-4594,2,Shirt,Beige Solid,STR-4594.jpg
501200,2,Shirt,White Oxford,501200.jpg
41001,3,Shirt,Violet Gingham Checks,41001.jpg
41002,3,Shirt,Dark Blue Gingham Checks,41002.jpg
41003,3,Shirt,Black Gingham Checks,41003.jpg
41005,3,Shirt,Blue With White Stripes,41005.jpg
41006,3,Shirt,Light Blue With White Stripes,41006.jpg
41007,3,Shirt,White With Navy Blue Checks,41007.jpg
41008,3,Shirt,White With Light blue Checks,41008.jpg
41009,3,Shirt,White With Violet Checks,41009.jpg
41010,3,Shirt,White With Red Checks,41010.jpg
41011,3,Shirt,White With Black Checks,41011.jpg
41012,3,Shirt,White With Dark Blue Stripes,41012.jpg
41013,3,Shirt,White With Light Blue Stripes,41013.jpg
41014,3,Shirt,White With Violet Stripes,41014.jpg
41015,3,Shirt,White With Red Stripes,41015.jpg
41016,3,Shirt,White With Black Stripes,41016.jpg
41020,3,Shirt,White With Dark Blue And Green Gingham Checked,41020.jpg
41021,3,Shirt,White With Red And Grey Gingham Checked,41021.jpg
41022,3,Shirt,"White With Tan,Blue And Dark grey Gingham Checked",41022.jpg
41023,3,Shirt,"White With Purple,Yellow And Violet Gingham Checked",41023.jpg
41025,3,Shirt,White With Orange Window Checked,41025.jpg
41026,3,Shirt,White With Light Blue Window Checked,41026.jpg
41027,3,Shirt,White With Light Brown Window Checked,41027.jpg
41028,3,Shirt,White With Black And Grey Window Checked,41028.jpg
41029,3,Shirt,White With Blue And Green Checked,41029.jpg
