FABRIC CODE,BRAND,type,COLOUR,DESIGN,DESCRIPTION,file
9338,6,suit,CREAM-BEIGE,STRIPES,GLITERED GOLD  STRIPE ON CREAM BACKGROUND,9338.jpg
9342,6,suit,TAN  BROWN,HERRINGBONE,TAN BROWN ON HERRINGBONE TEXTURE,9342.jpg
9346,6,suit,DARK GREY,HERRINGBONE,DARK GREY ON HERRINGBONE TEXTURE,9346.jpg
9347,6,suit,COPPER BROWN,HERRINGBONE,COPPER BROWN ON HERRINGBONE TEXTURE,9347.jpg
9385,6,suit,BLACK,STRIPES,COLOURED SRIPES ON BLACK HERRINGBONE TEXTURE,9385.jpg
9387,6,suit,BLACK,STRIPES,TAN STRIPES ON BLACK BACKGROUND,9387.jpg
9388,6,suit,BLACK,STRIPES,GREY STRIPES ON BLACK BACKGROUND,9388.jpg
9390,6,suit,BLACK,WINDOWPANE CHECKS,BLUE WINDOWPANE CHECKS ON BLACK BACKGROUND,9390.jpg
9391,6,suit,BLACK,WINDOWPANE CHECKS,VIOLET WINDOWPANE CHECKS ON BLACK BACKGROUND,9391.jpg
9395,6,suit,BROWN,STRIPES,GREEN STRIPESON BROWN BACKGROUND,9395.jpg
9400,6,suit,BLACK,SELF STRIPES,SELF TONE STRIPES ON BLACK,9400.jpg
